TimeSteps,ResultPoints,Delay(ns),FieldStrength(uV/m),DopplerShift(Hz),AoD_Azimuth(0-360),AoA_Azimuth(0-360),AoD_Elevation(0-180),AoA_Elevation(0-180)
0,23,50.3712,210257,0,247.694,252.081,90.9486,89.0514,
0,23,53.7427,121884,0,255.964,257.905,90.8891,89.1109,
0,24,8.4072,6.87112e+06,0,85.4261,265.426,95.6925,84.3075,
0,24,48.81,264954,0,254.249,257.508,90.9789,89.0211,
0,24,50.2704,210679,0,247.694,252.705,90.9505,89.0495,
0,24,53.6745,122038,0,255.964,258.509,90.8902,89.1098,
0,25,8.38733,6.8874e+06,0,87.7094,267.709,95.7061,84.2939,
0,25,48.7397,265336,0,254.249,258.163,90.9803,89.0197,
0,25,50.1729,211088,0,247.694,253.332,90.9523,89.0477,
0,25,53.6098,122186,0,255.964,259.114,90.8913,89.1087,
0,26,8.38069,6.89286e+06,0,90,270,95.7106,84.2894,
0,26,48.6732,265699,0,254.249,258.822,90.9817,89.0183,
0,26,50.079,211484,0,247.694,253.964,90.9541,89.0459,
0,26,53.5485,122326,0,255.964,259.723,90.8923,89.1077,
0,27,8.38733,6.8874e+06,0,92.2906,272.291,95.7061,84.2939,
0,27,48.6104,266042,0,254.249,259.484,90.983,89.017,
0,27,49.9887,211866,0,247.694,254.6,90.9559,89.0442,
0,27,53.4908,122458,0,255.964,260.334,90.8933,89.1067,
0,28,8.4072,6.87112e+06,0,94.5739,274.574,95.6925,84.3075,
0,28,48.5514,266365,0,254.249,260.149,90.9842,89.0158,
0,28,49.9019,212234,0,247.694,255.24,90.9575,89.0425,
0,28,53.4365,122582,0,255.964,260.947,90.8942,89.1058,
0,29,8.44023,6.84425e+06,0,96.8428,276.843,95.6702,84.3298,
0,29,48.4963,266668,0,254.249,260.816,90.9853,89.0147,
0,29,49.8188,212589,0,247.694,255.883,90.9591,89.0409,
0,29,53.3858,122698,0,255.964,261.562,90.895,89.105,
0,30,8.48624,6.80713e+06,0,99.0903,279.09,95.6393,84.3607,
0,30,48.445,266951,0,254.249,261.486,90.9863,89.0137,
0,30,49.7392,212929,0,247.694,256.53,90.9606,89.0394,
0,30,53.3387,122807,0,255.964,262.179,90.8958,89.1042,
0,31,8.54504,6.76029e+06,0,101.31,281.31,95.6004,84.3996,
0,31,48.3975,267212,0,254.249,262.158,90.9873,89.0127,
0,31,49.6634,213254,0,247.694,257.181,90.9621,89.0379,
0,31,53.2951,122907,0,255.964,262.798,90.8965,89.1035,
0,32,8.61636,6.70434e+06,0,103.496,283.496,95.5539,84.4461,
0,32,48.354,267453,0,254.249,262.833,90.9882,89.0118,
0,32,49.5913,213564,0,247.694,257.835,90.9635,89.0365,
0,32,53.255,123000,0,255.964,263.418,90.8972,89.1028,
0,33,8.69989,6.63996e+06,0,105.642,285.642,95.5004,84.4996,
0,33,48.3143,267673,0,254.249,263.509,90.989,89.011,
0,33,49.5228,213859,0,247.694,258.492,90.9648,89.0352,
0,33,53.2186,123084,0,255.964,264.04,90.8978,89.1022,
0,34,8.79528,6.56794e+06,0,107.745,287.745,95.4406,84.5594,
0,34,48.2786,267871,0,254.249,264.188,90.9897,89.0103,
0,34,49.4582,214139,0,247.694,259.153,90.9661,89.0339,
0,34,53.1858,123160,0,255.964,264.664,90.8984,89.1016,
0,35,8.90216,6.4891e+06,0,109.799,289.799,95.3751,84.6249,
0,35,48.2468,268047,0,254.249,264.867,90.9904,89.0096,
0,35,49.3973,214402,0,247.694,259.816,90.9673,89.0327,
0,35,53.1566,123228,0,255.964,265.288,90.8989,89.1011,
0,36,9.02012,6.40424e+06,0,111.801,291.801,95.3046,84.6954,
0,36,48.2189,268202,0,254.249,265.549,90.9909,89.0091,
0,36,49.3403,214650,0,247.694,260.482,90.9684,89.0316,
0,36,53.131,123287,0,255.964,265.914,90.8993,89.1007,
0,37,9.14872,6.31421e+06,0,113.749,293.75,95.2298,84.7702,
0,37,48.195,268335,0,254.249,266.231,90.9914,89.0086,
0,37,49.287,214882,0,247.694,261.151,90.9695,89.0305,
0,37,53.1091,123338,0,255.964,266.541,90.8997,89.1003,
0,38,9.28753,6.21984e+06,0,115.641,295.641,95.1514,84.8486,
0,38,48.1751,268446,0,254.249,266.915,90.9918,89.0082,
0,38,49.2376,215098,0,247.694,261.822,90.9704,89.0296,
0,38,53.0908,123380,0,255.964,267.169,90.9,89.1,
0,39,9.43609,6.12192e+06,0,117.474,297.474,95.0701,84.9299,
0,39,48.1591,268535,0,254.249,267.6,90.9922,89.0078,
0,39,49.1921,215297,0,247.694,262.495,90.9713,89.0287,
0,39,53.0761,123414,0,255.964,267.797,90.9002,89.0998,
0,40,9.59396,6.02119e+06,0,119.249,299.249,94.9865,85.0135,
0,40,48.1471,268602,0,254.249,268.285,90.9924,89.0076,
0,40,49.1505,215479,0,247.694,263.171,90.9722,89.0278,
0,40,53.0651,123440,0,255.964,268.426,90.9004,89.0996,
0,41,9.76067,5.91834e+06,0,120.964,300.964,94.9011,85.0989,
0,41,48.1391,268647,0,254.249,268.971,90.9926,89.0074,
0,41,49.1128,215644,0,247.694,263.848,90.9729,89.0271,
0,41,53.0578,123457,0,255.964,269.056,90.9006,89.0994,
0,42,9.93579,5.81403e+06,0,122.619,302.619,94.8145,85.1855,
0,42,48.1352,268669,0,254.249,269.657,90.9927,89.0073,
0,42,49.0791,215793,0,247.694,264.527,90.9736,89.0264,
0,42,53.0541,123466,0,255.964,269.685,90.9006,89.0994,
0,43,10.1189,5.70884e+06,0,124.216,304.216,94.7272,85.2728,
0,43,48.1352,268669,0,254.249,270.343,90.9927,89.0073,
0,43,49.0492,215924,0,247.694,265.208,90.9742,89.0258,
0,44,10.3095,5.60327e+06,0,125.754,305.754,94.6396,85.3604,
0,44,48.1391,268647,0,254.249,271.029,90.9926,89.0074,
0,44,49.0233,216038,0,247.694,265.89,90.9747,89.0253,
0,45,10.5073,5.49781e+06,0,127.235,307.235,94.5521,85.4479,
0,45,48.1471,268602,0,254.249,271.715,90.9924,89.0076,
0,45,49.0014,216135,0,247.694,266.573,90.9751,89.0249,
0,46,10.7118,5.39285e+06,0,128.66,308.66,94.465,85.535,
0,46,48.1591,268535,0,254.249,272.4,90.9922,89.0078,
0,46,48.9835,216214,0,247.694,267.257,90.9755,89.0245,
0,47,10.9226,5.28874e+06,0,130.03,310.03,94.3786,85.6214,
0,47,48.1751,268446,0,254.249,273.085,90.9918,89.0082,
0,47,48.9695,216276,0,247.694,267.942,90.9757,89.0243,
0,48,11.1395,5.18578e+06,0,131.348,311.348,94.2932,85.7068,
0,48,48.195,268335,0,254.249,273.769,90.9914,89.0086,
0,48,48.9595,216320,0,247.694,268.628,90.9759,89.0241,
0,49,11.362,5.08422e+06,0,132.614,312.614,94.209,85.791,
0,49,48.2189,268202,0,254.249,274.451,90.9909,89.0091,
0,49,48.9535,216346,0,247.694,269.314,90.9761,89.0239,
0,50,11.5899,4.98427e+06,0,133.831,313.831,94.1261,85.8739,
0,50,48.2468,268047,0,254.249,275.133,90.9904,89.0096,
0,50,48.9515,216355,0,247.694,270,90.9761,89.0239,
0,51,11.8227,4.8861e+06,0,135,315,94.0447,85.9553,
0,51,48.2786,267871,0,254.249,275.812,90.9897,89.0103,
