TimeSteps,ResultPoints,Delay(ns),FieldStrength(uV/m),DopplerShift(Hz),AoD_Azimuth(0-360),AoA_Azimuth(0-360),AoD_Elevation(0-180),AoA_Elevation(0-180)
0,12,49.9343,258988,5.93427,254.249,249.934,90.9569,89.0431,
0,12,51.6998,204854,6.20037,247.694,245.53,90.9242,89.0758,
0,12,54.713,119722,5.84555,255.964,251.471,90.8733,89.1267,
0,13,9.43609,6.12192e+06,0,62.5256,242.526,95.0701,84.9299,
0,13,49.8215,259575,5.91918,254.249,250.542,90.9591,89.0409,
0,13,51.5631,205397,6.18856,247.694,246.101,90.9267,89.0733,
0,13,54.6086,119951,5.83067,255.964,252.039,90.875,89.125,
0,14,9.28753,6.21984e+06,0,64.359,244.359,95.1514,84.8486,
0,14,49.7121,260146,5.90364,254.249,251.154,90.9612,89.0388,
0,14,51.4295,205930,6.17632,247.694,246.677,90.9291,89.0709,
0,14,54.5073,120174,5.81539,255.964,252.61,90.8766,89.1234,
0,15,9.14872,6.31421e+06,0,66.2505,246.251,95.2298,84.7702,
0,15,49.6061,260702,5.88764,254.249,251.771,90.9632,89.0368,
0,15,51.2991,206454,6.16366,247.694,247.258,90.9314,89.0686,
0,15,54.4093,120391,5.79972,255.964,253.185,90.8782,89.1218,
0,16,9.02012,6.40424e+06,0,68.1986,248.199,95.3046,84.6954,
0,16,49.5035,261242,5.87117,254.249,252.392,90.9652,89.0348,
0,16,51.1717,206968,6.15058,247.694,247.845,90.9338,89.0662,
0,16,54.3144,120601,5.78366,255.964,253.764,90.8797,89.1203,
0,17,8.90216,6.4891e+06,0,70.2011,250.201,95.3751,84.6249,
0,17,49.4043,261767,5.85424,254.249,253.018,90.9672,89.0328,
0,17,51.0475,207472,6.13705,247.694,248.436,90.936,89.064,
0,17,54.2228,120805,5.7672,255.964,254.346,90.8812,89.1188,
0,18,8.79528,6.56794e+06,0,72.2553,252.255,95.4406,84.5594,
0,18,49.3087,262275,5.83684,254.249,253.648,90.969,89.031,
0,18,50.9265,207964,6.12309,247.694,249.031,90.9382,89.0618,
0,18,54.1344,121002,5.75035,255.964,254.932,90.8826,89.1174,
0,19,8.69989,6.63996e+06,0,74.3578,254.358,95.5004,84.4996,
0,19,49.2165,262766,5.81897,254.249,254.281,90.9709,89.0292,
0,19,50.8088,208446,6.10868,247.694,249.632,90.9404,89.0596,
0,19,54.0494,121192,5.7331,255.964,255.52,90.884,89.116,
0,20,8.61636,6.70434e+06,0,76.5043,256.504,95.5539,84.4461,
0,20,49.128,263239,5.80063,254.249,254.919,90.9726,89.0274,
0,20,50.6944,208917,6.09382,247.694,250.238,90.9425,89.0575,
0,20,53.9676,121376,5.71544,255.964,256.112,90.8854,89.1146,
0,21,8.54504,6.76029e+06,0,78.6901,258.69,95.6004,84.3996,
0,21,49.043,263695,5.78182,254.249,255.561,90.9743,89.0257,
0,21,50.5833,209376,6.0785,247.694,250.848,90.9446,89.0554,
0,21,53.8893,121552,5.6974,255.964,256.707,90.8867,89.1133,
0,22,8.48624,6.80713e+06,0,80.9097,260.91,95.6393,84.3607,
0,22,48.9617,264134,5.76253,254.249,256.206,90.9759,89.0241,
0,22,50.4756,209823,6.06273,247.694,251.462,90.9466,89.0534,
0,22,53.8143,121722,5.67895,255.964,257.305,90.8879,89.1121,
0,23,8.44023,6.84425e+06,0,83.1572,263.157,95.6702,84.3298,
0,23,48.884,264553,5.74277,254.249,256.855,90.9775,89.0225,
0,23,50.3712,210257,6.04649,247.694,252.081,90.9486,89.0514,
0,23,53.7427,121884,5.66011,255.964,257.905,90.8891,89.1109,
0,24,8.4072,6.87112e+06,0,85.4261,265.426,95.6925,84.3075,
0,24,48.81,264954,5.72255,254.249,257.508,90.9789,89.0211,
0,24,50.2704,210679,6.0298,247.694,252.705,90.9505,89.0495,
0,24,53.6745,122038,5.64088,255.964,258.509,90.8902,89.1098,
0,25,8.38733,6.8874e+06,0,87.7094,267.709,95.7061,84.2939,
0,25,48.7397,265336,5.70185,254.249,258.163,90.9803,89.0197,
0,25,50.1729,211088,6.01263,247.694,253.332,90.9523,89.0477,
0,25,53.6098,122186,5.62125,255.964,259.114,90.8913,89.1087,
0,26,8.38069,6.89286e+06,0,90,270,95.7106,84.2894,
0,26,48.6732,265699,5.68068,254.249,258.822,90.9817,89.0183,
0,26,50.079,211484,5.995,247.694,253.964,90.9541,89.0459,
0,26,53.5485,122326,5.60123,255.964,259.723,90.8923,89.1077,
0,27,8.38733,6.8874e+06,0,92.2906,272.291,95.7061,84.2939,
0,27,48.6104,266042,5.65905,254.249,259.484,90.983,89.017,
0,27,49.9887,211866,5.97689,247.694,254.6,90.9559,89.0442,
0,27,53.4908,122458,5.58082,255.964,260.334,90.8933,89.1067,
0,28,8.4072,6.87112e+06,0,94.5739,274.574,95.6925,84.3075,
0,28,48.5514,266365,5.63696,254.249,260.149,90.9842,89.0158,
0,28,49.9019,212234,5.95831,247.694,255.24,90.9575,89.0425,
0,28,53.4365,122582,5.56003,255.964,260.947,90.8942,89.1058,
0,29,8.44023,6.84425e+06,0,96.8428,276.843,95.6702,84.3298,
0,29,48.4963,266668,5.61441,254.249,260.816,90.9853,89.0147,
0,29,49.8188,212589,5.93927,247.694,255.883,90.9591,89.0409,
0,29,53.3858,122698,5.53885,255.964,261.562,90.895,89.105,
0,30,8.48624,6.80713e+06,0,99.0903,279.09,95.6393,84.3607,
0,30,48.445,266951,5.5914,254.249,261.486,90.9863,89.0137,
0,30,49.7392,212929,5.91974,247.694,256.53,90.9606,89.0394,
0,30,53.3387,122807,5.5173,255.964,262.179,90.8958,89.1042,
0,31,8.54504,6.76029e+06,0,101.31,281.31,95.6004,84.3996,
0,31,48.3975,267212,5.56795,254.249,262.158,90.9873,89.0127,
0,31,49.6634,213254,5.89975,247.694,257.181,90.9621,89.0379,
0,31,53.2951,122907,5.49538,255.964,262.798,90.8965,89.1035,
0,32,8.61636,6.70434e+06,0,103.496,283.496,95.5539,84.4461,
0,32,48.354,267453,5.54405,254.249,262.833,90.9882,89.0118,
0,32,49.5913,213564,5.87929,247.694,257.835,90.9635,89.0365,
0,32,53.255,123000,5.47308,255.964,263.418,90.8972,89.1028,
0,33,8.69989,6.63996e+06,0,105.642,285.642,95.5004,84.4996,
0,33,48.3143,267673,5.51971,254.249,263.509,90.989,89.011,
0,33,49.5228,213859,5.85836,247.694,258.492,90.9648,89.0352,
0,33,53.2186,123084,5.45043,255.964,264.04,90.8978,89.1022,
0,34,8.79528,6.56794e+06,0,107.745,287.745,95.4406,84.5594,
0,34,48.2786,267871,5.49494,254.249,264.188,90.9897,89.0103,
0,34,49.4582,214139,5.83696,247.694,259.153,90.9661,89.0339,
0,34,53.1858,123160,5.42741,255.964,264.664,90.8984,89.1016,
0,35,8.90216,6.4891e+06,0,109.799,289.799,95.3751,84.6249,
0,35,48.2468,268047,5.46975,254.249,264.867,90.9904,89.0096,
0,35,49.3973,214402,5.81509,247.694,259.816,90.9673,89.0327,
0,35,53.1566,123228,5.40405,255.964,265.288,90.8989,89.1011,
0,36,9.02012,6.40424e+06,0,111.801,291.801,95.3046,84.6954,
0,36,48.2189,268202,5.44415,254.249,265.549,90.9909,89.0091,
0,36,49.3403,214650,5.79277,247.694,260.482,90.9684,89.0316,
0,36,53.131,123287,5.38033,255.964,265.914,90.8993,89.1007,
0,37,9.14872,6.31421e+06,0,113.749,293.75,95.2298,84.7702,
0,37,48.195,268335,5.41813,254.249,266.231,90.9914,89.0086,
0,37,49.287,214882,5.76999,247.694,261.151,90.9695,89.0305,
0,37,53.1091,123338,5.35628,255.964,266.541,90.8997,89.1003,
0,38,9.28753,6.21984e+06,0,115.641,295.641,95.1514,84.8486,
0,38,48.1751,268446,5.39172,254.249,266.915,90.9918,89.0082,
0,38,49.2376,215098,5.74676,247.694,261.822,90.9704,89.0296,
0,38,53.0908,123380,5.3319,255.964,267.169,90.9,89.1,
0,39,9.43609,6.12192e+06,0,117.474,297.474,95.0701,84.9299,
0,39,48.1591,268535,5.36493,254.249,267.6,90.9922,89.0078,
0,39,49.1921,215297,5.72308,247.694,262.495,90.9713,89.0287,
0,39,53.0761,123414,5.3072,255.964,267.797,90.9002,89.0998,
0,40,9.59396,6.02119e+06,0,119.249,299.249,94.9865,85.0135,
0,40,48.1471,268602,5.33775,254.249,268.285,90.9924,89.0076,
0,40,49.1505,215479,5.69896,247.694,263.171,90.9722,89.0278,
0,40,53.0651,123440,5.28217,255.964,268.426,90.9004,89.0996,
0,41,9.76067,5.91834e+06,0,120.964,300.964,94.9011,85.0989,
0,41,48.1391,268647,5.31021,254.249,268.971,90.9926,89.0074,
0,41,49.1128,215644,5.67441,247.694,263.848,90.9729,89.0271,
0,41,53.0578,123457,5.25685,255.964,269.056,90.9006,89.0994,
0,42,9.93579,5.81403e+06,0,122.619,302.619,94.8145,85.1855,
0,42,48.1352,268669,5.28231,254.249,269.657,90.9927,89.0073,
0,42,49.0791,215793,5.64943,247.694,264.527,90.9736,89.0264,
0,42,53.0541,123466,5.23122,255.964,269.685,90.9006,89.0994,
0,43,10.1189,5.70884e+06,0,124.216,304.216,94.7272,85.2728,
0,43,48.1352,268669,5.25407,254.249,270.343,90.9927,89.0073,
0,43,49.0492,215924,5.62403,247.694,265.208,90.9742,89.0258,
0,44,10.3095,5.60327e+06,0,125.754,305.754,94.6396,85.3604,
0,44,48.1391,268647,5.22549,254.249,271.029,90.9926,89.0074,
0,44,49.0233,216038,5.59822,247.694,265.89,90.9747,89.0253,
0,45,10.5073,5.49781e+06,0,127.235,307.235,94.5521,85.4479,
0,45,48.1471,268602,5.1966,254.249,271.715,90.9924,89.0076,
0,45,49.0014,216135,5.57201,247.694,266.573,90.9751,89.0249,
0,46,10.7118,5.39285e+06,0,128.66,308.66,94.465,85.535,
0,46,48.1591,268535,5.1674,254.249,272.4,90.9922,89.0078,
0,46,48.9835,216214,5.5454,247.694,267.257,90.9755,89.0245,
0,47,10.9226,5.28874e+06,0,130.03,310.03,94.3786,85.6214,
0,47,48.1751,268446,5.1379,254.249,273.085,90.9918,89.0082,
0,47,48.9695,216276,5.51842,247.694,267.942,90.9757,89.0243,
0,48,11.1395,5.18578e+06,0,131.348,311.348,94.2932,85.7068,
0,48,48.195,268335,5.10813,254.249,273.769,90.9914,89.0086,
0,48,48.9595,216320,5.49106,247.694,268.628,90.9759,89.0241,
0,49,11.362,5.08422e+06,0,132.614,312.614,94.209,85.791,
0,49,48.2189,268202,5.07809,254.249,274.451,90.9909,89.0091,
0,49,48.9535,216346,5.46333,247.694,269.314,90.9761,89.0239,
0,50,11.5899,4.98427e+06,0,133.831,313.831,94.1261,85.8739,
0,50,48.2468,268047,5.0478,254.249,275.133,90.9904,89.0096,
0,50,48.9515,216355,5.43526,247.694,270,90.9761,89.0239,
0,51,11.8227,4.8861e+06,0,135,315,94.0447,85.9553,
0,51,48.2786,267871,5.01728,254.249,275.812,90.9897,89.0103,
0,51,48.9535,216346,5.40685,247.694,270.686,90.9761,89.0239,
0,52,11.5899,4.98427e+06,0,136.169,316.169,94.1261,85.8739,
0,52,47.9468,269724,5.01411,254.249,275.882,90.9966,89.0034,
0,52,48.62,217830,5.40649,247.694,270.694,90.9828,89.0172,
0,53,11.362,5.08422e+06,0,137.386,317.386,94.209,85.791,
0,53,47.6151,271603,5.01086,254.249,275.954,91.0035,88.9965,
0,53,48.2866,219334,5.40613,247.694,270.703,90.9895,89.0105,
0,54,11.1395,5.18578e+06,0,138.652,318.652,94.2932,85.7068,
0,54,47.2834,273509,5.00753,254.249,276.028,91.0105,88.9895,
0,54,47.9531,220860,5.40575,247.694,270.712,90.9964,89.0036,
0,55,10.9226,5.28874e+06,0,139.97,319.97,94.3786,85.6214,
0,55,46.9517,275441,5.00411,254.249,276.103,91.0177,88.9823,
0,55,47.6196,222407,5.40537,247.694,270.721,91.0034,88.9966,
0,56,10.7118,5.39285e+06,0,141.34,321.34,94.465,85.535,
0,56,46.6201,277400,5.0006,254.249,276.18,91.0249,88.9751,
0,56,47.2861,223975,5.40497,247.694,270.73,91.0105,88.9895,
0,57,10.5073,5.49781e+06,0,142.765,322.765,94.5521,85.4479,
0,57,46.2886,279387,4.997,254.249,276.259,91.0323,88.9677,
0,57,46.9526,225566,5.40457,247.694,270.739,91.0177,88.9823,
0,58,10.3095,5.60327e+06,0,144.246,324.246,94.6396,85.3604,
0,58,45.9571,281402,4.9933,254.249,276.34,91.0397,88.9603,
0,58,46.6191,227179,5.40415,247.694,270.749,91.0249,88.9751,
0,59,10.1189,5.70884e+06,0,145.784,325.784,94.7272,85.2728,
0,59,45.6256,283446,4.9895,254.249,276.423,91.0473,88.9527,
0,59,46.2856,228816,5.40373,247.694,270.759,91.0323,88.9677,
0,60,9.93579,5.81403e+06,0,147.381,327.381,94.8145,85.1855,
0,60,45.2943,285520,4.9856,254.249,276.509,91.0549,88.9451,
0,60,45.9522,230477,5.40329,247.694,270.769,91.0398,88.9602,
0,61,9.76067,5.91834e+06,0,149.036,329.036,94.9011,85.0989,
0,61,44.9629,287624,4.98158,254.249,276.597,91.0627,88.9373,
0,61,45.6187,232162,5.40284,247.694,270.779,91.0474,88.9526,
0,62,9.59396,6.02119e+06,0,150.751,330.751,94.9865,85.0135,
0,62,44.6317,289759,4.97746,254.249,276.687,91.0706,88.9294,
0,62,45.2852,233871,5.40238,247.694,270.79,91.0551,88.9449,
0,63,9.43609,6.12192e+06,0,152.526,332.526,95.0701,84.9299,
0,63,44.3004,291925,4.97321,254.249,276.78,91.0786,88.9214,
0,63,44.9517,235606,5.4019,247.694,270.801,91.063,88.937,
0,64,9.28753,6.21984e+06,0,154.359,334.359,95.1514,84.8486,
0,64,43.9693,294124,4.96884,254.249,276.875,91.0867,88.9133,
0,64,44.6183,237367,5.40142,247.694,270.813,91.0709,88.9291,
0,65,9.14872,6.31421e+06,0,156.251,336.251,95.2298,84.7702,
0,65,43.6382,296355,4.96433,254.249,276.973,91.095,88.905,
0,65,44.2848,239154,5.40091,247.694,270.824,91.079,88.921,
0,66,9.02012,6.40424e+06,0,158.199,338.199,95.3046,84.6954,
0,66,43.3072,298620,4.9597,254.249,277.074,91.1033,88.8967,
0,66,43.9513,240969,5.4004,247.694,270.836,91.0872,88.9128,
0,67,8.90216,6.4891e+06,0,160.201,340.201,95.3751,84.6249,
0,67,42.9763,300920,4.95492,254.249,277.177,91.1118,88.8882,
0,67,43.6178,242811,5.39986,247.694,270.849,91.0955,88.9045,
0,68,8.79528,6.56794e+06,0,162.255,342.255,95.4406,84.5594,
0,68,42.6455,303254,4.94999,254.249,277.284,91.1205,88.8795,
0,68,43.2844,244682,5.39932,247.694,270.862,91.1039,88.8961,
0,69,8.69989,6.63996e+06,0,164.358,344.358,95.5004,84.4996,
0,69,42.3147,305625,4.94491,254.249,277.394,91.1292,88.8708,
0,69,42.9509,246582,5.39875,247.694,270.875,91.1125,88.8875,
0,70,8.61636,6.70434e+06,0,166.504,346.504,95.5539,84.4461,
0,70,41.984,308032,4.93966,254.249,277.507,91.1381,88.8619,
0,70,42.6175,248511,5.39817,247.694,270.888,91.1212,88.8788,
0,71,8.54504,6.76029e+06,0,168.69,348.69,95.6004,84.3996,
