VERSION	2022-14829
DATE	2023-11-17, 09:32:26 (+0800)
ANTENNA 1	NAME	TX
ANTENNA 1	LOCATION	3.500 7.000 1.250
ANTENNA 1	FREQUENCY	2000.000
ANTENNA 1	POWER	40.000 dBm Output
ANTENNA 1	ANTENNATYPE	ISO
LOWER_LEFT	0.95000000 4.45000000
UPPER_RIGHT	6.05000008 9.55000008
HEIGHT	1.500	1.500	1.500	1.500	1.500	1.500	1.500	1.500
TIME_STEP	0.000	1.000	2.000	3.000	4.000	5.000	6.000	7.000
RESOLUTION	0.10000000

Trajectory	x-Coordinate [m]	y-Coordinate [m]	z-Coordinate [m]	Yaw [deg]	Pitch [deg]	Roll [deg]	Time Stamp [s]	Velocity [m/s]	Distance to start of trajectory [m]	Power [dBm]
0	6.00000	9.50000	1.00000	0.00000	0.00000	0.00000	0.0000	2.5000	0.0000	-9.4302
0	5.90000	9.50000	1.00000	0.00000	0.00000	0.00000	0.0400	2.5000	0.1000	-9.2582
0	5.80000	9.50000	1.00000	0.00000	0.00000	0.00000	0.0800	2.5000	0.2000	-9.0864
0	5.70000	9.50000	1.00000	0.00000	0.00000	0.00000	0.1200	2.5000	0.3000	-8.9152
0	5.60000	9.50000	1.00000	0.00000	0.00000	0.00000	0.1600	2.5000	0.4000	-8.7451
0	5.50000	9.50000	1.00000	0.00000	0.00000	0.00000	0.2000	2.5000	0.5000	-8.5764
0	5.40000	9.50000	1.00000	0.00000	0.00000	0.00000	0.2400	2.5000	0.6000	-8.4095
0	5.30000	9.50000	1.00000	0.00000	0.00000	0.00000	0.2800	2.5000	0.7000	-8.2451
0	5.20000	9.50000	1.00000	0.00000	0.00000	0.00000	0.3200	2.5000	0.8000	-8.0835
0	5.10000	9.50000	1.00000	0.00000	0.00000	0.00000	0.3600	2.5000	0.9000	-7.9254
0	5.00000	9.50000	1.00000	0.00000	0.00000	0.00000	0.4000	2.5000	1.0000	-7.7714
0	4.90000	9.50000	1.00000	0.00000	0.00000	0.00000	0.4400	2.5000	1.1000	-7.6222
0	4.80000	9.50000	1.00000	0.00000	0.00000	0.00000	0.4800	2.5000	1.2000	-7.4785
0	4.70000	9.50000	1.00000	0.00000	0.00000	0.00000	0.5200	2.5000	1.3000	-7.3410
0	4.60000	9.50000	1.00000	0.00000	0.00000	0.00000	0.5600	2.5000	1.4000	-7.2106
0	4.50000	9.50000	1.00000	0.00000	0.00000	0.00000	0.6000	2.5000	1.5000	-7.0880
0	4.40000	9.50000	1.00000	0.00000	0.00000	0.00000	0.6400	2.5000	1.6000	-6.9739
0	4.30000	9.50000	1.00000	0.00000	0.00000	0.00000	0.6800	2.5000	1.7000	-6.8693
0	4.20000	9.50000	1.00000	0.00000	0.00000	0.00000	0.7200	2.5000	1.8000	-6.7748
0	4.10000	9.50000	1.00000	0.00000	0.00000	0.00000	0.7600	2.5000	1.9000	-6.6912
0	4.00000	9.50000	1.00000	0.00000	0.00000	0.00000	0.8000	2.5000	2.0000	-6.6191
0	3.90000	9.50000	1.00000	0.00000	0.00000	0.00000	0.8400	2.5000	2.1000	-6.5593
0	3.80000	9.50000	1.00000	0.00000	0.00000	0.00000	0.8800	2.5000	2.2000	-6.5121
0	3.70000	9.50000	1.00000	0.00000	0.00000	0.00000	0.9200	2.5000	2.3000	-6.4781
0	3.60000	9.50000	1.00000	0.00000	0.00000	0.00000	0.9600	2.5000	2.4000	-6.4576
0	3.50000	9.50000	1.00000	0.00000	0.00000	0.00000	1.0000	2.5000	2.5000	-6.4507
0	3.40000	9.50000	1.00000	0.00000	0.00000	0.00000	1.0400	2.5000	2.6000	-6.4575
0	3.30000	9.50000	1.00000	0.00000	0.00000	0.00000	1.0800	2.5000	2.7000	-6.4780
0	3.20000	9.50000	1.00000	0.00000	0.00000	0.00000	1.1200	2.5000	2.8000	-6.5119
